world_rank,university_name,country,teaching,international,research,citations,income,total_score
81,Free University of Berlin,Germany,49.4,56.6,58,67.6,33.5,57.6
82,Michigan State University,United States of America,51.1,55,49.4,74,31.7,57.3
83,Durham University,United Kingdom,37.2,80.4,40.7,88.9,34.8,56.9
83,Monash University,Australia,43.7,79.6,54.4,65.7,73.4,56.9
85,Middle East Technical University,Turkey,45.5,38.7,36.9,92,55.2,56.6
86,University of Arizona,United States of America,44.9,38.8,51.4,74,99.6,56.5
86,University of Notre Dame,United States of America,43.3,51.4,38.5,90,-,56.5
88,Tufts University,United States of America,43.6,51.1,33.9,92.9,58.7,56.4
88,"University of California, Irvine",United States of America,39.5,56.1,41.7,89.5,40,56.4
90,Ghent University,Belgium,42.5,49.1,51.6,73.8,85.3,56.2
91,University of Massachusetts,United States of America,44.8,40.3,49.1,78.7,52.8,56.1
91,University of Pittsburgh,United States of America,45.2,32.2,46.3,84.4,38.5,56.1
93,Emory University,United States of America,49,42.9,32.4,89.5,42.3,55.5
94,McMaster University,Canada,38.1,69.4,43.2,78.8,85,55.3
94,University of Glasgow,United Kingdom,37,78.8,40.5,83.7,39.9,55.3
96,Vanderbilt University,United States of America,46,28.3,38.2,87.7,59.4,55.2
97,University of Colorado Boulder,United States of America,35,39.1,38.3,97.4,-,55.1
98,Stockholm University,Sweden,30.1,53.2,45,90.9,32.4,54.6
98,Technical University of Munich,Germany,45.6,64,37.4,78.8,49,54.6
98,Uppsala University,Sweden,40.2,57.5,53,70.9,39.6,54.6
101,Maastricht University,Netherlands,32.4,89.7,48.1,70.1,96.1,54.3
102,Purdue University,United States of America,47.8,64.3,50.5,62.2,-,54
103,Pierre and Marie Curie University,France,47.3,64.7,30,83.3,33.4,53.9
103,University of Helsinki,Finland,37.5,49.7,48.1,79,31.5,53.9
103,University of Warwick,United Kingdom,41.1,85.7,45.8,68.2,35.6,53.9
103,University of Zurich,Switzerland,40.2,86.9,33.1,81.4,40.1,53.9
107,Queen Mary University of London,United Kingdom,32.4,88.6,32.9,88.9,37.1,53.8
107,University of Geneva,Switzerland,34.5,96.8,37.2,78.2,65.1,53.8
109,"University of California, Santa Cruz",United States of America,30.6,54.6,31.9,100,33.8,53.7
109,University of New South Wales,Australia,41.1,83.5,51.9,61.1,47.8,53.7
111,University of St Andrews,United Kingdom,35.7,90.5,35.9,81.4,39.8,53.6
111,University of Sussex,United Kingdom,31.9,83.6,30.4,92.8,31.2,53.6
113,University of Montreal,Canada,43.8,76.7,44.4,62.9,91.8,53.4
113,University of TÌÄå_bingen,Germany,41.5,53,44.7,74,54.7,53.4
113,University of York,United Kingdom,32.2,75,33.8,90.5,32.2,53.4
116,Case Western Reserve University,United States of America,46.5,34.4,37.4,82.9,-,53.2
117,University of Groningen,Netherlands,36.9,56.1,50.8,68.1,88.9,53.1
118,"Royal Holloway, University of London",United Kingdom,29.1,94.4,22.4,98.9,32.8,53
119,Lund University,Sweden,32.6,70.1,48.5,74.9,32.6,52.9
120,Paris-Sud University,France,37.3,62.7,33.1,87.7,28.9,52.8
121,Technical University of Denmark,Denmark,39.9,79.7,28.2,79.6,98.6,52.7
121,University of Rochester,United States of America,41.9,55.5,29.2,87.7,36.4,52.7
121,University of Sheffield,United Kingdom,40,74.8,39.1,74.3,43.8,52.7
124,University of Alberta,Canada,43.8,73.4,47.1,61.8,51.8,52.6
124,University of Cape Town,South Africa,26.8,76.7,35.3,86.6,88,52.6
126,Boston College,United States of America,32.4,54.6,29.1,95.9,46.5,52.5
126,KTH Royal Institute of Technology,Sweden,45.7,84,44.8,55.1,100,52.5
126,University of Florida,United States of America,49.8,32.2,52.1,62.2,-,52.5
129,Chinese University of Hong Kong,Hong Kong,43.9,64,53.5,57.8,42.8,52.4
130,University of Virginia,United States of America,48.7,31.8,35.9,76.9,49.8,52.1
131,Lancaster University,United Kingdom,35.4,84.7,36.1,78,34.1,52
132,University of Bern,Switzerland,42,80.7,36.9,70.1,47.4,51.9
132,"University of Maryland, College Park",United States of America,36.5,44.8,39.1,83.6,33.2,51.9
132,University of Southampton,United Kingdom,35.2,82.4,34.1,79.7,38.9,51.9
135,TU Dresden,Germany,39.8,44.7,42,70.8,99.5,51.6
136,University of Lausanne,Switzerland,29.4,85.1,39.9,76.5,50.9,51.4
136,VU University Amsterdam,Netherlands,35.5,50.6,43.2,74.9,60,51.4
138,Trinity College Dublin,Republic of Ireland,39.4,83.9,30.3,77.6,30.6,51.2
139,BoÌãÅüaziÌÄå_i University,Turkey,28.5,54.1,27.6,96.8,47.7,51.1
140,Radboud University Nijmegen,Netherlands,30.5,61.6,46.7,73.9,42.8,51
141,Colorado School of Mines,United States of America,26.1,52.6,26.7,97.1,79.4,50.9
141,Texas A&M University,United States of America,46.2,49.1,51.9,55.1,49.6,50.9
141,Tokyo Institute of Technology,Japan,53.5,37,52.9,48.1,69.4,50.9
144,Eindhoven University of Technology,Netherlands,38.3,69,47.1,57.3,99.9,50.5
144,"Rutgers, the State University of New Jersey",United States of America,40.5,34.3,45.3,71,35.2,50.5
146,University of Leeds,United Kingdom,39.4,67.6,39.1,69.3,39.4,50.4
147,Brandeis University,United States of America,25.8,54.7,29.1,95.3,43.9,50.3
148,Sungkyunkwan University (SKKU),South Korea,48.1,35.8,50.2,51.7,98.5,50.2
148,University of Birmingham,United Kingdom,42.8,75.8,39.8,62.7,36,50.2
150,Indiana University,United States of America,46.5,37.1,35.1,73.1,-,50.1
150,"University of California, Riverside",United States of America,29.4,61.6,27.5,91.5,39.5,50.1
152,Dartmouth College,United States of America,38.3,33.1,35.4,80.4,49.1,50
153,Aarhus University,Denmark,30.9,66.3,47.5,66.5,59.8,49.9
