world_rank,university_name,country,teaching,international,research,citations,income,total_score
82,Lund University,Sweden,43.6,64.4,61.3,77.1,34.2,60.3
83,University of Amsterdam,Netherlands,45.6,57,61.3,75.1,49,60.1
84,University of Montreal,Canada,54,74.6,57.9,60.9,95,59.8
85,University of New South Wales,Australia,52.6,84.8,63.8,56.7,50.5,59.6
86,Nanyang Technological University,Singapore,45.7,90.5,66.9,54.5,99.5,59.4
87,Tufts University,United States of America,52.6,39.6,36.4,94.8,39.4,59.1
88,McMaster University,Canada,42.3,66.9,47.9,81.7,98,59
89,University of Groningen,Netherlands,43.8,49.8,61,71.6,85.2,58.8
89,University of Zurich,Switzerland,50,84.1,41.6,80,38.3,58.8
91,University of Colorado Boulder,United States of America,42.3,34.7,44.4,97.1,-,58.7
92,Paris-Sud University,France,48,63.9,45.9,82.9,28.4,58.6
93,Ghent University,Belgium,46.4,49.1,56.7,71.3,95.9,58.4
94,Michigan State University,United States of America,51.8,36.8,56.8,73.8,32.6,58.3
94,University of Notre Dame,United States of America,48.3,41.6,39.6,93.5,29.8,58.3
96,"University of California, Irvine",United States of America,44,35.2,47.2,90.3,42.1,58.2
97,"University of Maryland, College Park",United States of America,44.9,40.4,51.4,83.9,32.1,57.9
98,University of Arizona,United States of America,47,31.3,53.7,76.9,83.9,57.7
99,Humboldt University of Berlin,Germany,55.4,57.5,58.7,59.5,-,57.5
99,Monash University,Australia,47.8,66.4,60.6,60.9,70,57.5
99,"Rutgers, the State University of New Jersey",United States of America,50.9,27.9,61.3,69.5,35.8,57.5
102,University of Rochester,United States of America,46,45.9,37.8,92.3,39.6,57.2
103,University of York,United Kingdom,41.9,71.9,43.9,83.4,38.4,57.1
104,Case Western Reserve University,United States of America,56.5,34.2,42,80.4,-,56.9
105,Technical University of Munich,Germany,51.2,61.5,42.4,76.5,49.7,56.8
106,Uppsala University,Sweden,48.6,56.3,63.9,58.2,44.1,56.6
106,Vanderbilt University,United States of America,51.5,27.5,40.9,85,53,56.6
108,University of St Andrews,United Kingdom,43.2,86.3,43.8,76.6,38.9,56.5
109,University of Helsinki,Finland,42.8,48.3,53,77.7,31.1,56.4
110,Trinity College Dublin,Republic of Ireland,41.9,84.5,33.5,88.1,32.8,56.2
110,University of Sheffield,United Kingdom,49.5,68.1,46.2,71,41.5,56.2
110,University of Sussex,United Kingdom,34.9,76.7,39.5,91.1,32.1,56.2
113,University of Cape Town,South Africa,34.7,75.1,45.5,79.7,87.3,55.8
114,Eindhoven University of Technology,Netherlands,44.1,69.8,51.8,63.8,100,55.6
115,Maastricht University,Netherlands,39.7,85.2,53.2,62.5,99.1,55.5
116,Aarhus University,Denmark,35.7,66.4,54.6,71.6,69.7,55.3
117,Stockholm University,Sweden,31.3,52.2,43.8,93,32,55.2
118,University of Virginia,United States of America,55.9,27.9,43,73.5,48.6,55
