world_rank,university_name,country,teaching,international,research,citations,income,total_score
351-400,Deakin University,Australia,20,68.4,22,47.1,30.1,-
351-400,Flinders University,Australia,22.4,59.8,24.2,38.4,39.1,-
351-400,George Mason University,United States of America,27.2,34.9,19.7,53,28.2,-
351-400,Heriot-Watt University,United Kingdom,20.7,84.2,21.4,42.1,48.4,-
351-400,Indian Institute of Technology Roorkee,India,30.4,15.6,13.7,45.8,70.4,-
351-400,Jagiellonian University,Poland,22.7,41.7,13.8,48.2,29.5,-
351-400,Keele University,United Kingdom,16.3,64.2,18.8,55.1,31.7,-
351-400,Keio University,Japan,32.5,22.2,28,39.7,43.1,-
351-400,King MongkutÌ¢‰âÂ‰ã¢s University of Technology Thonburi,Thailand,11.3,23.8,10.2,68.4,60.2,-
351-400,Lehigh University,United States of America,26,30.4,19.7,50.6,40.1,-
351-400,Leibniz University of Hanover,Germany,36.6,48.2,19.1,35.1,40.3,-
351-400,Loughborough University,United Kingdom,33.4,63.9,32.7,24.7,40.7,-
351-400,Massey University,New Zealand,19.2,73.3,19.2,37.6,66,-
351-400,National Autonomous University of Mexico,Mexico,31,33.2,31.6,24.6,36,-
351-400,National Central University,Taiwan,25.2,27.9,26.5,38.3,84.8,-
351-400,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,26.8,18.8,42.5,33.1,46.8,-
351-400,"National University of Ireland, Maynooth",Republic of Ireland,25.7,69.2,23.9,28.1,30.8,-
351-400,Paris Dauphine University,France,22,57.6,12.7,50.6,29.4,-
351-400,Polytechnic University of Valencia,Spain,21,26.1,12.1,59.4,39.3,-
351-400,Southern Methodist University,United States of America,18.6,35.2,9,67.3,-,-
351-400,Temple University,United States of America,37.2,20.1,18.8,43.3,-,-
351-400,University of Aveiro,Portugal,21,48.7,21.1,49,39.9,-
351-400,University of Duisburg-Essen,Germany,24.4,50.2,14.7,54.7,41.1,-
351-400,University of Ferrara,Italy,19.2,41.4,13,58.5,37.7,-
351-400,University of Hertfordshire,United Kingdom,13.4,77.2,9.1,63.1,28.9,-
351-400,University of Houston,United States of America,37.5,32.6,25,35,35.7,-
351-400,University of JyvÌÄå_skylÌÄå_,Finland,24.3,49.7,15.8,44.6,71.2,-
351-400,University of KwaZulu-Natal,South Africa,21.9,56.2,20.2,40,28.5,-
351-400,University of LiÌÄå¬ge,Belgium,21.9,67.8,16.9,48.4,55.9,-
351-400,University of Minho,Portugal,17.6,44.1,19.7,51.2,32.2,-
351-400,University of Modena and Reggio Emilia,Italy,17.3,30,16.6,58.5,32.3,-
351-400,University of Oklahoma,United States of America,36.8,24.2,17.8,42.9,33.9,-
351-400,University of Porto,Portugal,26.2,43.2,21.1,50.2,36.2,-
351-400,University of Salento,Italy,29.1,28.4,21.3,40.6,51.3,-
351-400,University of Stirling,United Kingdom,18.2,63.7,23.7,50.3,29.8,-
351-400,University of Strathclyde,United Kingdom,26.3,63,21.6,33,35.8,-
351-400,University of Surrey,United Kingdom,31.1,80.4,25,21.6,45.4,-
351-400,University of Tartu,Estonia,18.6,42.4,27.4,52.4,30.1,-
351-400,University of Tasmania,Australia,19.5,68.4,17.5,47.2,44.8,-
351-400,University of Technology Sydney,Australia,20.7,74.7,21.5,34.7,33.9,-
351-400,University of Texas at San Antonio,United States of America,17.3,28.6,17.6,66.2,32.2,-
351-400,"University of the Andes, Colombia",Colombia,15.5,53,11.4,68.2,28.4,-
351-400,University of Valencia,Spain,17.2,40.8,14.5,62.8,32.5,-
351-400,University of Vigo,Spain,19.4,26.9,9.5,63.7,36.6,-
351-400,University of Warsaw,Poland,23.2,39.8,18.4,54,27.9,-
351-400,University of Wyoming,United States of America,18.6,28.1,24.2,47.5,30.9,-
351-400,Waseda University,Japan,28.9,32.8,21.3,37.8,30.8,-
