world_rank,university_name,country,teaching,international,research,citations,income,total_score
78,Stony Brook University,United States of America,48.5,52.2,43.6,85.8,51.7,59.6
79,Korea Advanced Institute of Science and Technology (KAIST),South Korea,71.3,36.7,63.4,45.5,100,59.5
79,University of Sussex,United Kingdom,42.4,72.8,42.4,91.6,29.1,59.5
81,The University of Queensland,Australia,51.8,74.2,53.4,69,57.1,59.1
81,University of York,United Kingdom,47.9,66.6,46.2,81.9,36.2,59.1
83,Heidelberg University,Germany,59.2,63.4,47.5,70.3,39.1,59
83,University of Utah,United States of America,55.8,22.5,54.2,72,51.7,59
85,Durham University,United Kingdom,39.8,65.7,44.1,91,33.9,58.9
86,London School of Economics and Political Science,United Kingdom,62.4,99.5,56.2,51.6,38.4,58.3
87,University of Manchester,United Kingdom,56.5,79.1,56.2,59.2,39,58
88,"Royal Holloway, University of London",United Kingdom,37.7,92.9,36.2,93.2,30.5,57.9
89,Lund University,Sweden,46.3,56.8,60.8,67.6,33.2,57.8
90,University of Southampton,United Kingdom,50.8,69,47.8,72.9,37.7,57.7
90,University of Zurich,Switzerland,56.6,87.9,47,65,43.8,57.7
90,Wake Forest University,United States of America,54.6,24.4,42.9,79.2,51.7,57.7
93,McMaster University,Canada,44.7,54.2,58.7,68.5,51.7,57.6
94,University College Dublin,Republic of Ireland,42.4,87,36.6,86.3,51.7,57.5
95,George Washington University,United States of America,60.6,39.6,43.1,70.2,51.7,57.3
95,University of Arizona,United States of America,52.4,21.9,52.2,70.1,84.2,57.3
95,University of Basel,Switzerland,50.2,91.3,37.1,78.3,45.8,57.3
98,"University of Maryland, College Park",United States of America,45.4,35.4,48.6,79.2,51.7,57.2
99,Dartmouth College,United States of America,44.7,31,49.2,79.7,51.7,57.1
100,ÃŒÃ„â€°Ã›Â¡cole Normale SupÃŒÃ„Ã¥Â©rieure de Lyon,France,51.1,37.6,34.4,88.8,26.1,57
101,Technical University of Munich,Germany,50.4,85.3,43.2,71.2,51.7,56.9
102,University of Helsinki,Finland,49,24.2,51.4,75.4,30.2,56.6
103,University of St Andrews,United Kingdom,44.8,85.7,47.7,72.9,32.6,56.5
104,Rensselaer Polytechnic Institute,United States of America,50.5,48,54.6,64.9,51.7,56.4
105,"Rutgers, the State University of New Jersey",United States of America,53.4,26.8,64.7,55.7,51.7,56.3
106,Purdue University,United States of America,57,62.6,67.8,43.9,51.7,56.2
107,National Tsing Hua University,Taiwan,52.2,34.1,52.6,66.9,50.2,56.1
107,University of Cape Town,South Africa,36.6,83.3,42.1,82.8,51.7,56.1
109,Pennsylvania State University,United States of America,46.3,19.9,49.2,77.6,44,56
109,Seoul National University,South Korea,62.3,44.9,54.1,54.6,43,56
111,Hong Kong Baptist University,Hong Kong,32.9,71.8,32.5,97.6,26.7,55.6
112,Bilkent University,Turkey,34.3,47.7,36.1,95.7,32.4,55.4
112,Tokyo Institute of Technology,Japan,62.9,24.8,63.4,45.5,60.5,55.4
114,Eindhoven University of Technology,Netherlands,55.4,44.9,51.7,56.9,99.8,55.3
115,National Taiwan University,Taiwan,50.3,29.2,59,61.6,35.7,55.2
115,University of HawaiÃŒÂ¢â€°Ã¢Ã‚â€°Ã£Â¢i at MÃŒÃ£Ã¥ÂÅnoa,United States of America,38.3,34.2,47.6,81,51.7,55.2
117,"University of California, Riverside",United States of America,38.6,63,47.4,78.3,30.5,55.1
118,University of Geneva,Switzerland,46.6,95.7,49.7,63.1,32.7,55
119,KU Leuven,Belgium,57.7,29.6,62.9,45.2,97.7,54.8
120,Nanjing University,China,52.2,50.2,46.2,66,43.4,54.6
120,Queen Mary University of London,United Kingdom,39.7,91,44.1,73.5,38.9,54.6
122,Michigan State University,United States of America,50.4,30.4,52.7,63.7,51.7,54.5
122,Technical University of Denmark,Denmark,46.2,64,46.9,64.6,95.5,54.5
124,Ghent University,Belgium,52.8,24.7,59.1,52.8,97.1,54.4
124,Lancaster University,United Kingdom,43.5,73.8,41.9,74.9,28.8,54.4
124,Leiden University,Netherlands,47.3,40,54.9,59.3,100,54.4
127,University of Alberta,Canada,53.7,71.6,58,49.7,44.5,54.3
128,University of Glasgow,United Kingdom,45.6,55.1,50.3,65.1,61,54.2
129,Stockholm University,Sweden,36.9,54.2,49.2,75.9,31.7,54
130,Osaka University,Japan,61.7,20.1,63.4,40,73.4,53.4
130,University of Victoria,Canada,32.9,54.2,48.3,79.1,27.4,53.4
132,Tohoku University,Japan,60.3,20.1,62.5,41.2,82.3,53.3
132,University of Freiburg,Germany,52.4,46.2,41.4,64.3,79.8,53.3
132,University of Iowa,United States of America,48.6,31.7,59.8,54.8,51.7,53.3
135,University of Bergen,Norway,39.9,66.6,42.1,73.1,41.5,52.7
136,University of Lausanne,Switzerland,43.1,84.1,50.5,59.1,42.5,52.6
137,University of Sheffield,United Kingdom,48.9,62.7,49.2,58.4,40.3,52.5
138,University of Montreal,Canada,56.1,54.2,49.4,51.9,51.7,52.4
139,VU University Amsterdam,Netherlands,47.6,30.6,51.6,58.5,81.4,52.3
140,Pierre and Marie Curie University,France,51.9,30.7,37.2,71.5,26.4,52.2
140,University of Dundee,United Kingdom,34.1,54.4,41,79.3,49.3,52.2
142,University of Barcelona,Spain,34.1,22.3,33.7,91.9,30,52.1
143,Utrecht University,Netherlands,43.4,52.6,53,58.8,55.3,52
144,Wageningen University and Research Center,Netherlands,58.5,24.3,48.8,53,51.7,51.9
145,University of Auckland,New Zealand,34.8,94.3,39.2,71.8,61.1,51.8
145,University of Birmingham,United Kingdom,50.3,73.8,50.7,52.1,34.8,51.8
147,Alexandria University,Egypt,29.5,19.3,28,99.8,36,51.6
147,Uppsala University,Sweden,49.6,77.9,62.2,40.7,39.5,51.6
149,Hong Kong Polytechnic University,Hong Kong,39.4,82.9,45.7,62.4,57.2,51.4
149,University of Aberdeen,United Kingdom,37.8,86.1,45.2,64.6,47,51.4
151,Delft University of Technology,Netherlands,55.5,47.4,67.7,29,99.4,51.3
152,"Birkbeck, University of London",United Kingdom,41.2,88.5,35.8,70.6,27.4,51.2
152,Newcastle University,United Kingdom,42.7,80.5,42.8,63.6,31.1,51.2
152,University of New South Wales,Australia,49.5,70.7,48.9,51.2,60,51.2
155,Pompeu Fabra University,Spain,35,44.1,33,84.7,40,51.1
156,Indiana University,United States of America,48.5,37.7,42.5,63.2,51.7,51
156,Iowa State University,United States of America,49.3,23.2,49.6,58.2,49.6,51
158,Georgia Health Sciences University,United States of America,67.3,16.3,41.7,48.9,50.1,50.7
159,Erasmus University Rotterdam,Netherlands,39.4,58.6,43.6,65.5,51.7,50.4
159,University of Delaware,United States of America,38.4,16.8,51.9,61.3,100,50.4
161,Arizona State University,United States of America,43,24.1,44.1,66.9,51.7,50.3
161,Boston College,United States of America,40.1,31.6,33.6,78,51.7,50.3
